2023-08-03 19:59:04,630 [main] INFO  com.manbath.bath.BathApplication(logStarting:51) - Starting BathApplication using Java 20.0.2 with PID 1524 (C:\Users\kmc59\OneDrive\Î∞îÌÉï ÌôîÎ©¥\ÏÉà Ìè¥Îçî\bath\bath_spring\build\classes\java\main started by kmc59 in C:\Users\kmc59\OneDrive\Î∞îÌÉï ÌôîÎ©¥\ÏÉà Ìè¥Îçî\bath\bath_spring)
2023-08-03 19:59:04,658 [main] INFO  com.manbath.bath.BathApplication(logStartupProfileInfo:640) - The following 1 profile is active: "db"
2023-08-03 19:59:05,922 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:138) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-03 19:59:06,078 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:208) - Finished Spring Data repository scanning in 133 ms. Found 6 JPA repository interfaces.
2023-08-03 19:59:07,145 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port(s): 8080 (http)
2023-08-03 19:59:07,325 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:291) - Root WebApplicationContext: initialization completed in 2566 ms
2023-08-03 19:59:08,237 [main] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo(addTransformer:87) - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-08-03 19:59:12,089 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(buildNativeEntityManagerFactory:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-03 19:59:12,600 [main] INFO  org.springframework.data.jpa.repository.query.QueryEnhancerFactory(<clinit>:47) - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-08-03 19:59:13,398 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration(openEntityManagerInViewInterceptor:231) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-03 19:59:13,660 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:57) - Adding welcome page: class path resource [static/index.html]
2023-08-03 19:59:13,989 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:220) - Tomcat started on port(s): 8080 (http) with context path ''
2023-08-03 19:59:14,000 [main] INFO  com.manbath.bath.BathApplication(logStarted:57) - Started BathApplication in 10.069 seconds (process running for 12.151)
2023-08-03 19:59:24,249 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(destroy:650) - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-03 20:28:21,166 [main] INFO  com.manbath.bath.BathApplication(logStarting:51) - Starting BathApplication using Java 20.0.2 with PID 12072 (C:\Users\kmc59\OneDrive\πŸ≈¡ »≠∏È\ªı ∆˙¥ı\bath\bath_spring\build\classes\java\main started by kmc59 in C:\Users\kmc59\OneDrive\πŸ≈¡ »≠∏È\ªı ∆˙¥ı\bath\bath_spring)
2023-08-03 20:28:21,211 [main] INFO  com.manbath.bath.BathApplication(logStartupProfileInfo:640) - The following 1 profile is active: "db"
2023-08-03 20:28:22,995 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:138) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-03 20:28:23,241 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:208) - Finished Spring Data repository scanning in 219 ms. Found 6 JPA repository interfaces.
2023-08-03 20:28:24,852 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port(s): 8080 (http)
2023-08-03 20:28:25,143 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:291) - Root WebApplicationContext: initialization completed in 3798 ms
2023-08-03 20:28:26,632 [main] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo(addTransformer:87) - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-08-03 20:28:31,789 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(buildNativeEntityManagerFactory:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-03 20:28:32,645 [main] INFO  org.springframework.data.jpa.repository.query.QueryEnhancerFactory(<clinit>:47) - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-08-03 20:28:34,129 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration(openEntityManagerInViewInterceptor:231) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-03 20:28:34,575 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:57) - Adding welcome page: class path resource [static/index.html]
2023-08-03 20:28:35,102 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:220) - Tomcat started on port(s): 8080 (http) with context path ''
2023-08-03 20:28:35,124 [main] INFO  com.manbath.bath.BathApplication(logStarted:57) - Started BathApplication in 14.947 seconds (process running for 17.197)
